domain,protocol,arm,seed,n,referable_prevalence,sensitivity,specificity,precision_ppv,f1,auroc
APTOS,frozen,RETFound,4,3504,0.3909817351598174,0.9846715328467154,0.3191190253045923,0.4814418272662384,0.6466922339405562,0.8825221132994479
APTOS,full,ImageNet-MAE,42,3504,0.3909817351598174,0.9773722627737226,0.8003748828491096,0.7586402266288952,0.8542264752791069,0.9641299365845982
APTOS,full,ImageNet-MAE,1,3504,0.3909817351598174,0.9788321167883212,0.7797563261480788,0.7404748757592491,0.8431310908519334,0.9641077035689121
APTOS,full,ImageNet-MAE,2,3504,0.3909817351598174,0.9751824817518249,0.830834114339269,0.7872716558632882,0.8712096511248778,0.9663812859576273
APTOS,full,ImageNet-MAE,3,3504,0.3909817351598174,0.9773722627737226,0.7694470477975632,0.7312943746586564,0.8366135582630428,0.963743766204448
APTOS,full,ImageNet-MAE,4,3504,0.3909817351598174,0.9751824817518249,0.7970946579194002,0.7552289429055964,0.851226505256451,0.9685361782472175
APTOS,full,RETFound,42,3504,0.3909817351598174,0.9802919708029197,0.7914714151827554,0.7511185682326622,0.8505383153894871,0.9624740899855656
APTOS,full,RETFound,1,3504,0.3909817351598174,0.9715328467153285,0.7778819119025304,0.7373961218836566,0.8384251968503937,0.9491801147907701
APTOS,full,RETFound,2,3504,0.3909817351598174,0.9824817518248176,0.7671040299906279,0.7303309820944113,0.8378462496109554,0.9628390534892154
APTOS,full,RETFound,3,3504,0.3909817351598174,0.9759124087591241,0.7596063730084348,0.7227027027027026,0.8304347826086956,0.9523437018997257
APTOS,full,RETFound,4,3504,0.3909817351598174,0.9737226277372263,0.7900656044985942,0.7485970819304153,0.8464467005076142,0.9513599764672078
