target,method,seed,backbone,image_size,batch_size,n_train,n_test,source_qwk,target_qwk,source_f1,target_f1,source_ece,target_ece,target_ece_scaled,target_severe,temperature,seconds,domain_balanced
eyepacs,mixstyle,2,densenet121,224,32,11841,35108,0.887683999189197,0.409451433587488,0.6814178282962713,0.3715234077654327,0.0633316422912483,0.2525566812340241,0.1623190999485281,0.2448159963541073,1.5927,929.4,False
eyepacs,groupdro,2,densenet121,224,32,11841,35108,0.8831722531236081,0.4243582366645513,0.6756052759538026,0.3848673831478165,0.0796688060506994,0.2611087890297524,0.1630491534877251,0.2317705366298279,1.7507,1169.7,False
eyepacs,irm,2,densenet121,224,32,11841,35108,0.6730350598439687,0.3422225126936485,0.3829681233770681,0.2650770105106003,0.0486708541117569,0.1055238421607821,0.0506049768766213,0.246496525008545,1.2307,327.9,False
eyepacs,erm,2,densenet121,224,32,11841,35108,0.848931078002832,0.4295219455413005,0.6331032290757672,0.3698539185306606,0.1312444641505268,0.2836246434580062,0.1394677003687775,0.2256750598154266,2.7789,10839.3,True
eyepacs,deep_coral,2,densenet121,224,32,11841,35108,0.8534277075436346,0.4278119458588224,0.6275149392231205,0.3481229078836298,0.1193689598402365,0.2701618466761832,0.128968542251802,0.2246496525008545,2.503,847.2,True
eyepacs,mixstyle,2,densenet121,224,32,11841,35108,0.8487045249409104,0.4110091839927964,0.6161406736256392,0.366689681576315,0.1199096361918273,0.2850532158674459,0.1345332544970969,0.2380084311268087,2.4425,902.2,True
eyepacs,groupdro,2,densenet121,224,32,11841,35108,0.8546827585052477,0.4190815811608874,0.639538534209984,0.3713126294133553,0.1305307737291383,0.2989530291816185,0.1569506606799661,0.2392047396604762,2.6239,1178.0,True
eyepacs,irm,2,densenet121,224,32,11841,35108,0.6097418340802596,0.3699575172866244,0.3906285913149155,0.2636492282625428,0.1481314391840531,0.1421768518483718,0.0238166455809053,0.2053662982795944,1.5849,433.6,True
idrid,erm,2,densenet121,224,32,36080,507,0.8029951036144287,0.7565765396741193,0.5887261993082491,0.4751771749496244,0.0724141072524089,0.2266413412623275,0.1194577548831597,0.1124260355029585,1.6186315008029362,3346.1,False
aptos,erm,42,densenet121,224,32,33606,3504,0.7965999990354998,0.8590853269535972,0.5941207407379526,0.504712223736574,0.0455264899305652,0.1081529335102739,0.0405592666053393,0.0619292237442922,1.3835568837728764,2317.3,False
ddr,erm,42,densenet121,224,32,27718,12424,0.7519659477474597,0.7333719908664899,0.5555501242697755,0.5082638640995095,0.0773331730491457,0.1382997147400192,0.0551025703114159,0.166613007083065,1.6320197531570364,2288.3,False
ddr,deep_coral,42,densenet121,224,32,27718,12424,0.745642040365591,0.7369046297476629,0.5484237161917667,0.5167469580465198,0.0781400057396797,0.1303369223817233,0.0485104115921154,0.1669349645846748,1.6359,1980.7,False
ddr,groupdro,42,densenet121,224,32,27718,12424,0.7371186773270331,0.7338789127468717,0.5428687507110573,0.5157322604144052,0.078392922573785,0.1246641324779063,0.0445285459758005,0.1621860914359304,1.6356,1965.0,False
ddr,mixstyle,42,densenet121,224,32,27718,12424,0.7588580468909163,0.7528003597304265,0.5574546638351443,0.5297258779256293,0.05425311926071841,0.08737774380870732,0.03840608015073296,0.15470057952350288,1.407,2528.6,False
eyepacs,erm,42,densenet121,224,32,11841,35108,0.8909346510496002,0.4077128272289569,0.6836941700110377,0.3757747621954475,0.0818861571968365,0.2887057353742737,0.180069118554337,0.2453571835479093,1.847206057058932,828.9,False
eyepacs,deep_coral,42,densenet121,224,32,11841,35108,0.8854365152343853,0.4161240667120244,0.6812621984425478,0.3650916536247944,0.0782271073263642,0.2762102228818021,0.1740742530007179,0.2323402073601458,1.7999,918.4,False
eyepacs,mixstyle,42,densenet121,224,32,11841,35108,0.8866027370418251,0.4291164849050579,0.6762497385601476,0.3690804533244289,0.0680918804188185,0.2487995070854677,0.1576536033852064,0.2294348866355246,1.6238,951.7,False
eyepacs,groupdro,42,densenet121,224,32,11841,35108,0.8829641014709634,0.4053256172465799,0.6752875838666089,0.3742412575816821,0.0679567096810559,0.2632064913102729,0.1679151363303233,0.2477782841517603,1.6494,1111.3,False
eyepacs,irm,42,densenet121,224,32,11841,35108,0.7025046917323361,0.348948842413447,0.4239076257866072,0.2831167565718241,0.0457931156867627,0.0639624070807811,0.0518747188116133,0.2228267061638373,1.1259,434.3,False
eyepacs,erm,42,densenet121,224,32,11841,35108,0.8515195475144349,0.4370659427876335,0.6217305820280754,0.3769402796342742,0.1327839788894033,0.286515895695333,0.1397468148728908,0.2133416885040446,2.7209,814.9,True
eyepacs,deep_coral,42,densenet121,224,32,11841,35108,0.8508941405852082,0.4088939020802109,0.6115043699906568,0.3636501786030176,0.1329422536549961,0.3034492192117815,0.1418201044573115,0.2318275037028597,2.7326,1100.8,True
eyepacs,mixstyle,42,densenet121,224,32,11841,35108,0.8445650690606389,0.4031186080093254,0.6395873071957695,0.3570115363644186,0.1087468974095865,0.2852026914391007,0.1469827865625513,0.2476928335422126,2.2641,942.2,True
eyepacs,groupdro,42,densenet121,224,32,11841,35108,0.840997440514582,0.4096929413271417,0.6054002811261652,0.3520787496582187,0.1322703401972204,0.294060041777169,0.1314283103199761,0.2316566024837643,2.6009,936.5,True
eyepacs,irm,42,densenet121,224,32,11841,35108,0.6793857732228669,0.3590557433265658,0.4165256396146267,0.2984647362414129,0.0533452123036912,0.0501966869529225,0.0277334499105232,0.2623618548478979,1.2132,459.1,True
idrid,erm,42,densenet121,224,32,36080,507,0.8017330221804433,0.7542569817218183,0.5859010958304915,0.4898948035878741,0.0741734976539079,0.215886190887574,0.1046968612700632,0.1163708086785009,1.6345013275539215,2945.6,False
