target,method,seed,image_size,backbone,batch_size,domain_balanced,n_train,n_test,source_qwk,target_qwk,source_f1,target_f1,source_ece,target_ece,target_ece_scaled,target_severe,temperature,seconds
aptos,linprobe,42,224,densenet121,256,False,33606,3504,0.5897791099797551,0.5335458283080816,0.4288268705568929,0.361486505263557,0.0429214881271343,0.2241346097666107,0.1349883572969517,0.3047945205479452,1.5082,96.1
idrid,linprobe,42,224,densenet121,256,False,36080,507,0.6040366608711122,0.72583271560681,0.4410720392843644,0.460890349747162,0.0518925391791719,0.1537924815682029,0.0771543670819851,0.1577909270216962,1.4565,78.9
ddr,linprobe,1,224,densenet121,256,False,27718,12424,0.5220029923526752,0.5564027920201575,0.3914689539023017,0.3937262262273237,0.0541775232210154,0.1646606966191081,0.0752944271378913,0.3062620734063103,1.5125,73.1
aptos,linprobe,1,224,densenet121,256,False,33606,3504,0.5873688634309615,0.5592323346704626,0.4269346061298753,0.3683559381927616,0.042972906519681,0.2054262298274121,0.099373933126116,0.2833904109589041,1.6021,102.5
idrid,linprobe,1,224,densenet121,256,False,36080,507,0.6010247614413222,0.678548490687219,0.4336374179085085,0.4113677327943356,0.0597293044159256,0.178146162094214,0.0845063442633005,0.1893491124260355,1.5151,61.9
ddr,linprobe,2,224,densenet121,256,False,27718,12424,0.5182575017908384,0.5586547448016589,0.388428817827872,0.4035739407168354,0.0693461508036541,0.1594331474796043,0.069755925237055,0.3007887958789439,1.5874,87.6
aptos,linprobe,2,224,densenet121,256,False,33606,3504,0.5826256797723073,0.458470966658558,0.4288779516247495,0.3528625070472187,0.0765145488446527,0.2710078932242851,0.1631597142693477,0.341324200913242,1.5917,77.4
idrid,linprobe,2,224,densenet121,256,False,36080,507,0.6011532503918761,0.7054715708447408,0.4405270461962365,0.4664323595685085,0.0409802332664072,0.1374761188876699,0.08747053699615,0.1794871794871795,1.3453,167.9
ddr,linprobe,42,224,vit_large_mae_in1k,256,False,27718,12424,0.5950588304312776,0.5553028841123306,0.4499697731408386,0.3864988188594299,0.0424770444752318,0.1549492397052352,0.0921907031551068,0.2842884739214423,1.3402,66.3
aptos,linprobe,42,224,vit_large_mae_in1k,256,False,33606,3504,0.6528017860872801,0.6674198522297212,0.4827730982568036,0.4137125792438155,0.0361197767299407,0.1351765663826574,0.0912135764280589,0.2271689497716895,1.2793,161.4
idrid,linprobe,42,224,vit_large_mae_in1k,256,False,36080,507,0.6507245431788569,0.6709454099661065,0.4826861384221811,0.3930439612630082,0.0452032690704252,0.2199208863975968,0.1555781730209798,0.1420118343195266,1.306,83.5
ddr,linprobe,1,224,vit_large_mae_in1k,256,False,27718,12424,0.5953351644310834,0.568320160774304,0.4431938156206042,0.3746344466330594,0.0500704564950783,0.1746718436455581,0.1036890941520215,0.2921764327108822,1.3789,89.6
aptos,linprobe,1,224,vit_large_mae_in1k,256,False,33606,3504,0.6468818496669979,0.5303265019328351,0.4688930358106132,0.354820754305219,0.0509950700790877,0.2508270434831103,0.1804971085753142,0.3710045662100457,1.3394,79.8
idrid,linprobe,1,224,vit_large_mae_in1k,256,False,36080,507,0.6632412915790646,0.6167826588057981,0.4762621164696728,0.3829532470527446,0.0347308568233659,0.2118879932270953,0.1644818845560596,0.2169625246548323,1.2175,208.0
ddr,linprobe,2,224,vit_large_mae_in1k,256,False,27718,12424,0.59563248146282,0.5848099849469839,0.4583010601335432,0.3722875522239064,0.0529147153203496,0.1852281166544017,0.104587887896872,0.3044108177720541,1.4118,102.1
aptos,linprobe,2,224,vit_large_mae_in1k,256,False,33606,3504,0.6534513157456592,0.5555357813261765,0.4824580165538571,0.3672619126260089,0.0350490401162321,0.2203842781688252,0.1679651900006992,0.3339041095890411,1.2564,178.6
idrid,linprobe,2,224,vit_large_mae_in1k,256,False,36080,507,0.663237652960128,0.6333484040736537,0.4815625126068559,0.3965815696009103,0.0343024072494573,0.1948222720176275,0.1389078087152688,0.2149901380670611,1.2512,209.6
ddr,linprobe,3,224,retfound_cfp,256,False,27718,12424,0.5991476144203789,0.513534784055661,0.4437796061022004,0.3583829284362834,0.0321891461173392,0.1879598962170649,0.1453888131404327,0.3142305215711526,1.1998,76.7
aptos,linprobe,3,224,retfound_cfp,256,False,33606,3504,0.6328638005023528,0.4941757099036954,0.4727085970313607,0.3403775502775066,0.0347295441721532,0.3155007404976919,0.2635728808673736,0.3730022831050228,1.2475,78.2
idrid,linprobe,3,224,retfound_cfp,256,False,36080,507,0.6443717402884428,0.6143418559079461,0.4685974196274519,0.3969739303610271,0.0376307346062371,0.2375037547281742,0.1855031834146429,0.2406311637080868,1.2531,55.1
ddr,linprobe,4,224,retfound_cfp,256,False,27718,12424,0.5968974823559361,0.49543179979991,0.4501025476988006,0.3424345597951354,0.0409245241616464,0.2092270593507322,0.1496937921052784,0.3275112685125563,1.2903,48.1
aptos,linprobe,4,224,retfound_cfp,256,False,33606,3504,0.6356531607590712,0.4636314959137061,0.4759190269433607,0.3036487875030145,0.0383315078046086,0.3411232534387748,0.2799213947004516,0.4069634703196347,1.2787,62.3
idrid,linprobe,4,224,retfound_cfp,256,False,36080,507,0.6397119690622751,0.6882544861337684,0.4582068110268242,0.412581908845266,0.0399033039592892,0.1948040550394641,0.137992029094905,0.1972386587771203,1.2703,57.3
ddr,linprobe,3,224,densenet121,256,False,27718,12424,0.5196096289919776,0.5634536694597899,0.3804821073739085,0.4078176484720915,0.0774418467185605,0.1448876421733088,0.0565377397575656,0.2974082421120412,1.6155,37.5
aptos,linprobe,3,224,densenet121,256,False,33606,3504,0.5897201114754633,0.4939892686475184,0.4354719522995854,0.3249873425462727,0.0599385359281964,0.294730466760729,0.180743940994184,0.33162100456621,1.7062,43.7
idrid,linprobe,3,224,densenet121,256,False,36080,507,0.5988880637267737,0.6916803830614993,0.4455277486650796,0.4025246413625816,0.0580662910046746,0.2260152290793801,0.1256166902001318,0.1893491124260355,1.5287,51.0
ddr,linprobe,4,224,densenet121,256,False,27718,12424,0.5146029123514217,0.5086430697214503,0.3858993676236395,0.3970978409852324,0.0617237853105164,0.1527634048900409,0.0824687918528965,0.3221989697359948,1.4281,25.5
aptos,linprobe,4,224,densenet121,256,False,33606,3504,0.5896350648874993,0.560833143379549,0.4308448066669584,0.371819148500535,0.0445277091985344,0.2002428895942696,0.0994959686724776,0.2799657534246575,1.6291,97.7
idrid,linprobe,4,224,densenet121,256,False,36080,507,0.6002639511959527,0.693744386577931,0.4366295537776166,0.4495831212702577,0.0644245535230993,0.2095177603308736,0.1084228218815679,0.1420118343195266,1.5366,54.4
ddr,linprobe,3,224,vit_large_mae_in1k,256,False,27718,12424,0.5962887023248633,0.5787553050142569,0.4479504835190154,0.3875110880803828,0.0516614601060666,0.1556818324302521,0.0858153416089508,0.2836445589182228,1.3776,51.0
aptos,linprobe,3,224,vit_large_mae_in1k,256,False,33606,3504,0.6515293657373529,0.6230250074200929,0.4825033884582603,0.3954483996336312,0.0440914741225944,0.146959401998822,0.0909218769187982,0.2742579908675799,1.2927,77.7
idrid,linprobe,3,224,vit_large_mae_in1k,256,False,36080,507,0.6610551218615188,0.6110465650039096,0.4694663314946007,0.3902454412455951,0.0362672658250278,0.2093577815818598,0.1553133606026212,0.2268244575936883,1.2453,100.9
ddr,linprobe,4,224,vit_large_mae_in1k,256,False,27718,12424,0.5946473085055838,0.6154298733844112,0.4342865999461587,0.4001773505593613,0.0427687339207771,0.1324447697293581,0.0794020113854362,0.2760785576303928,1.2666,26.7
aptos,linprobe,4,224,vit_large_mae_in1k,256,False,33606,3504,0.6520124826876883,0.5594764251058568,0.4736613340478801,0.3825668748098533,0.0403604626970114,0.250262369720699,0.1887637954434842,0.3122146118721461,1.3057,78.1
idrid,linprobe,4,224,vit_large_mae_in1k,256,False,36080,507,0.6594110636112698,0.6056216625320607,0.47851728615667016,0.3918632607774358,0.04076216998859061,0.21552360745576712,0.1522747382610321,0.21696252465483234,1.291,85.0
