domain,protocol,model,seed,experiment_id,in_registry,status,epochs_run,epochs_planned,best_epoch,train_seconds,n_test,predictions_sha256
aptos,partial,RETFound,1,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s1,True,COMPLETE,14,20,7,5042.2,3504,bd8f75eb39e29ebb1b1c586c0106b291b5870f4a0c05b33bedb653d19e28d1d3
aptos,partial,RETFound,2,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s2,True,COMPLETE,13,20,6,4667.2,3504,d4cac1e07a0f1e58a9d352c578d83668ea62d4e5bcb2c11c795cd9ecd7bc85d8
aptos,partial,RETFound,3,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s3,True,COMPLETE,14,20,7,5034.0,3504,85c2da1ce2efd15474122fe628c2919045f920b6af091c99d1ec127045fba9d3
aptos,partial,RETFound,4,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s4,True,COMPLETE,13,20,6,4681.4,3504,f414d6dfbce239354fac21d25d01a183b40298a6f2be63d16668cefa76b2a34e
aptos,full,ImageNet-MAE,42,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42,True,COMPLETE,20,20,19,20929.2,3504,bbde2e4fc4760526e850c90c215637d0aee558e815d6d752d7d667cdd45292ce
aptos,full,ImageNet-MAE,1,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1,True,COMPLETE,20,20,17,20758.4,3504,6e1df49ea18c571b05fe608093dd626cdbbaefcb75c254843830a196511fe47d
aptos,full,ImageNet-MAE,2,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2,True,COMPLETE,20,20,18,21051.0,3504,0649480696439064e9e121337cd64b8471f87cdfae92c6c236fac586ca12f58f
aptos,full,ImageNet-MAE,3,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3,True,COMPLETE,20,20,17,20951.1,3504,42dae934f80dc0ed949c58fe4ede31cc02509354447f77ecd5a55469232759e0
aptos,full,ImageNet-MAE,4,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4,True,COMPLETE,20,20,19,21088.8,3504,9042feeb956d0c39a21ce430f232bc5cb3e447a0cbabc5bfdae680f6f6615d5c
aptos,full,RETFound,42,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s42,True,COMPLETE,14,20,7,14610.9,3504,15ab20c5f6fcbcabe8997196e571771b9ae250d9b5caf3c3fe68cf9abd081d65
aptos,full,RETFound,1,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s1,True,COMPLETE,19,20,12,19840.4,3504,b222a60717df467c93c75a20b75ad30162ef8591ff9cd932e8ed0677ce39a716
aptos,full,RETFound,2,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s2,True,COMPLETE,15,20,8,15748.5,3504,eb1c0692c5aaec8682a90343fb652f821ad9173a0462f9eabd62eb3fa26db314
aptos,full,RETFound,3,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s3,True,COMPLETE,14,20,7,14588.0,3504,434d2b516a2824ad2671b705f823171c1c1618008433f31ab32a7b4981f421aa
aptos,full,RETFound,4,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s4,True,COMPLETE,19,20,12,19834.0,3504,0000bff82ccf184fd8d913c7fe2b6f30a741812aa0406f97f8b2f11e4c515f26
idrid,frozen,ImageNet-MAE,42,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s42,True,COMPLETE,80,200,-1,83.5,507,f16d925619f0ca6dafb28b827002336e6c8e6a53eb0be58a4548e7585e2c4032
idrid,frozen,ImageNet-MAE,1,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s1,True,COMPLETE,200,200,-1,208.0,507,ad4ff3e83984ef736a2445ab89169fef0c7d209a123dfc0b7bc821fbd949c7a5
idrid,frozen,ImageNet-MAE,2,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s2,True,COMPLETE,200,200,-1,209.6,507,eb0a05d06d7284e083bf9c946fef540b73c498f5e29b388862b65e9cc0b0f466
idrid,frozen,ImageNet-MAE,3,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s3,True,COMPLETE,193,200,-1,100.9,507,9d4241bb13f7b364b925e794d4a96da6adcd93fdfffc7c94f920aabf9f331eae
idrid,frozen,ImageNet-MAE,4,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s4,True,COMPLETE,163,200,-1,85.0,507,b3f2eed36a04c72b84cec6c2e39d2c04a3f24189ced15d6e860530fb9666805c
