artifact,role,size_bytes,sha256,source_run,required_for
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42__target_test[aptos]_predictions.csv,predictions,692687,22ef653b010f3e9546bc580060a6df571af461db7ef5903774576d2a0bc5e52a,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42_evaluation.json,config/report,9400,7904f12ace595aa030fc771c3e47ffbaad294af18a9f7d8b64bc515d56942f7e,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1__target_test[aptos]_predictions.csv,predictions,694646,1b5e2d3390c2525616eb65ae58febadb1633cfa7f5314bee4bd1e2b6e381fd7d,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1_evaluation.json,config/report,9418,a825f87c83656b648b202c123aade4eb16ef63acd75109c62a566f907a45887a,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2__target_test[aptos]_predictions.csv,predictions,696776,4aae6daa41a7c520578492c68a0d977671752f18fd57ab6d6fe219096f2a690f,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2_evaluation.json,config/report,9386,a06806a0886e89053727d01db15eaa99faaa617fad34f6ef8c0b09468ee580fc,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3__target_test[aptos]_predictions.csv,predictions,695509,cccc3a1a548b93668627eca15756926d0b4759e4c28c19db9c6a41ccd146e261,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3_evaluation.json,config/report,9404,d9dc9561aa8209d0708aef1012b04ea234dc78d7932bcfec99bbe1e39bde33fe,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4__target_test[aptos]_predictions.csv,predictions,688295,5b8677d74763c97b52978650337d484e35cb181890a6905c10f382246652c72f,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4_evaluation.json,config/report,9413,2c209a4e08fd2f46ed4cac974b9cb78a829e4404332d598206652e2a7378b681,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s42__target_test[aptos]_predictions.csv,predictions,687489,d719a93712c30f369544494b4d798cace5828b08facf7b9801d9bbe9c43dd989,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s42,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s42_evaluation.json,config/report,9347,dca89fe7210e8a92e488bb16ab652b38cc04df9738400ec5b042507d5f489e5c,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s42,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s1__target_test[aptos]_predictions.csv,predictions,693017,bd8f75eb39e29ebb1b1c586c0106b291b5870f4a0c05b33bedb653d19e28d1d3,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s1,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s1_evaluation.json,config/report,9397,b1e63f77500b719dccf850a13a8b098dba5d42c87a3f67afe17a12fddffdf991,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s1,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s2__target_test[aptos]_predictions.csv,predictions,692228,d4cac1e07a0f1e58a9d352c578d83668ea62d4e5bcb2c11c795cd9ecd7bc85d8,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s2,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s2_evaluation.json,config/report,9401,d3c9b2726f1dc18a299cda4e458df0c0d67a32880c4737108a92832fcdc26ab6,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s2,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s3__target_test[aptos]_predictions.csv,predictions,693917,85c2da1ce2efd15474122fe628c2919045f920b6af091c99d1ec127045fba9d3,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s3,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s3_evaluation.json,config/report,9409,fcf58c01029b2f07f588d04f11636dcef7b91d5c6a84d7f3bb43bf51a46fb93f,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s3,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s4__target_test[aptos]_predictions.csv,predictions,690221,f414d6dfbce239354fac21d25d01a183b40298a6f2be63d16668cefa76b2a34e,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s4,master results; adaptation depth
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s4_evaluation.json,config/report,9396,011880fcdf6f632b2ae311c575ee7aaf634eb81bc522771a687ca03e7240a7d9,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s4,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42__target_test[aptos]_predictions.csv,predictions,694355,bbde2e4fc4760526e850c90c215637d0aee558e815d6d752d7d667cdd45292ce,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42_evaluation.json,config/report,9423,c4be688442074764a3d682b5b8bd07d9fe5a31565bdb3a50e5421421fc4ce9c0,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42_history.csv,source-validation history,3008,eb398cabc1df9105b9904c267ff3550e7c9b1b343dbba36f46ba9b8e315dd5d6,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1__target_test[aptos]_predictions.csv,predictions,693620,6e1df49ea18c571b05fe608093dd626cdbbaefcb75c254843830a196511fe47d,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1_evaluation.json,config/report,9407,1d690f537f19ca9b705cb75e9fdc79f78f49478a11ac197b23a32cffa4cdea37,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1_history.csv,source-validation history,2934,298aeadade377e826bf5ace02798f7c8f7d3f0d66cffa9db008965fd1535c368,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2__target_test[aptos]_predictions.csv,predictions,693419,0649480696439064e9e121337cd64b8471f87cdfae92c6c236fac586ca12f58f,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2_evaluation.json,config/report,9416,e088181642375c78ad19d2f9bd37aa40d113bed1f441d7949147fcb0e13bf971,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2_history.csv,source-validation history,2914,e7d5d8b22380dd16939707ca7e232b062609c16ea0ec1a94e3f52179ca0ac452,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3__target_test[aptos]_predictions.csv,predictions,692382,42dae934f80dc0ed949c58fe4ede31cc02509354447f77ecd5a55469232759e0,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3_evaluation.json,config/report,9408,328a342d5f1514b42538ec661f080e4f6628488b2342f659989415fc91239f33,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3_history.csv,source-validation history,2987,d2b145f5153acab108547dd22429f652579e0e1b24876d68e2d5b5a817c041c5,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4__target_test[aptos]_predictions.csv,predictions,694088,9042feeb956d0c39a21ce430f232bc5cb3e447a0cbabc5bfdae680f6f6615d5c,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4_evaluation.json,config/report,9413,66080af1b9c482a48c59e38398c5f3e15dc1aedf3e0689177dcdf60aef68354c,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4_history.csv,source-validation history,2912,0e59db4cda92a83268942007f371db1ab67094239167f9fa16800e662dcfb100,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s42__target_test[aptos]_predictions.csv,predictions,690658,15ab20c5f6fcbcabe8997196e571771b9ae250d9b5caf3c3fe68cf9abd081d65,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s42,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s42_evaluation.json,config/report,9408,270aa3ab1368f97e011bde96428b1d57e1a8e134ba2c3d72265c335c34f93e7d,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s42,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s42_history.csv,source-validation history,2115,3926bb267da2456150bed1b39e5e133201fa1330871572eb1f3237ab3d909735,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s42,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s1__target_test[aptos]_predictions.csv,predictions,702150,b222a60717df467c93c75a20b75ad30162ef8591ff9cd932e8ed0677ce39a716,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s1,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s1_evaluation.json,config/report,9400,6fafdc5309b578f04a1447834a93ad79c90f3797c47ac48ce9904e59a6a25bfb,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s1,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s1_history.csv,source-validation history,2833,0d4e4a525c6d9233860c81719851cf756096f9c526a2bda31b6e6f73750db99f,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s1,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s2__target_test[aptos]_predictions.csv,predictions,691713,eb1c0692c5aaec8682a90343fb652f821ad9173a0462f9eabd62eb3fa26db314,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s2,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s2_evaluation.json,config/report,9397,8e634cd8eb92cba152d0237496a889aa343925af51a046e0da4af37af01316e7,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s2,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s2_history.csv,source-validation history,2269,b8fa50d0b27f790fe807baa6c0db19fa09a07c6e1fb196408234fa97abbf2fa7,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s2,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s3__target_test[aptos]_predictions.csv,predictions,692526,434d2b516a2824ad2671b705f823171c1c1618008433f31ab32a7b4981f421aa,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s3,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s3_evaluation.json,config/report,9411,ff4d54edd2e4a068e5b82fb3cead2c29a5bf3e01a16d96066be244bba71eb69b,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s3,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s3_history.csv,source-validation history,2097,61c6a7526e7e129ed9b22be7d6511d09c6250a88cec785b3fed270241ec9d3f0,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s3,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s4__target_test[aptos]_predictions.csv,predictions,701447,0000bff82ccf184fd8d913c7fe2b6f30a741812aa0406f97f8b2f11e4c515f26,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s4,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s4_evaluation.json,config/report,9407,edca74865f734a3e7f1ea768aff0f5a2f61c0eff1ae2e5ff159562924e3e2f62,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s4,"temperature, config, recorded metrics"
histories\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s4_history.csv,source-validation history,2840,02d6cb165b15e12051633311bd53fd4070a749c1acda93cd61a417eabfea6e8b,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-ftfull-lr0.0001_s4,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s42__target_test[idrid]_predictions.csv,predictions,96452,f16d925619f0ca6dafb28b827002336e6c8e6a53eb0be58a4548e7585e2c4032,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s42,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s42_evaluation.json,config/report,9116,f51e5a1fc71cbfa971cbb2a2602140c847860f84610ccf0a1d2b1a62344d4e77,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s42,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s1__target_test[idrid]_predictions.csv,predictions,96440,ad4ff3e83984ef736a2445ab89169fef0c7d209a123dfc0b7bc821fbd949c7a5,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s1,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s1_evaluation.json,config/report,9123,69ee8aff40ac0b57050ddef6871bf6c7c03ad0919f24c55b8b96ac2d084e4a66,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s1,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s2__target_test[idrid]_predictions.csv,predictions,96395,eb0a05d06d7284e083bf9c946fef540b73c498f5e29b388862b65e9cc0b0f466,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s2,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s2_evaluation.json,config/report,9121,b161bfaef088187c88d9d2c8590ca75b7103289b4067a91c1ca5f36ed06eeb38,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s2,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s3__target_test[idrid]_predictions.csv,predictions,96386,9d4241bb13f7b364b925e794d4a96da6adcd93fdfffc7c94f920aabf9f331eae,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s3,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s3_evaluation.json,config/report,9126,185689c825095d2876591f40e6a2e4ba2f0b523542ffd52b1e007a46eab0e797,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s3,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s4__target_test[idrid]_predictions.csv,predictions,96440,b3f2eed36a04c72b84cec6c2e39d2c04a3f24189ced15d6e860530fb9666805c,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s4,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s4_evaluation.json,config/report,9127,b9831229230ae0352ddeaf12cffa640ca866a0a4aa75bf4c24d043728f4ea6d4,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s4,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s5__target_test[idrid]_predictions.csv,predictions,96317,3ff71d3d1d6cbe19288ab57244448f44030dcbf91f153c3d4ef9e662fe8b058d,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s5,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s5_evaluation.json,config/report,9112,8278da4cad2c1328e1d47fa574d8ec21a3458ef111ba92a48a3bc2d5130ef30b,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s5,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s6__target_test[idrid]_predictions.csv,predictions,96528,d87161388026adbb131c700671b21fe7e9dfb620504dd8d78ea5226e3c954ab4,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s6,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s6_evaluation.json,config/report,9095,732ee6dc5abc16961e7c87f92636c3dde647b48bfffd43748c37023054d0b815,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s6,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s7__target_test[idrid]_predictions.csv,predictions,96293,f08405d836bdba14a498fed74525d3e465cf7fffa68afb5b27b35290e6946a97,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s7,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s7_evaluation.json,config/report,9095,45191152ad0f184747b5ad12c36f94220549167f0e460a37e7acbb7fd70ee6be,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s7,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s8__target_test[idrid]_predictions.csv,predictions,96378,dad4716f76c1ac528e997fad0018853d9ac0be7b97355fafbcd5817359740c7f,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s8,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s8_evaluation.json,config/report,9109,8f6033f0d0d9b1edc4b4923fccdb1bf82d3a50bdfea36d2dc3f64b40d3167e34,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s8,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s9__target_test[idrid]_predictions.csv,predictions,96310,a79202f0e3f0e4709a73433a23d96f64e3b843516a7e58a4e21c5a0efbab9b6d,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s9,master results
configs\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s9_evaluation.json,config/report,9087,0a2b6589ec528e4e57281b4ee9daa026cc58f65a30ede7b0a105adab981712b3,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_linprobe-b256_s9,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s42__target_test[idrid]_predictions.csv,predictions,96387,71c2dd58dc96e2c56d725bbc1a0ae5322ef7acc3c0c74308f4e804f8fa699c52,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s42,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s42_evaluation.json,config/report,9203,e30d084f6648a10f00071dd75a92efba9577e6f3b0a40edd1c0e6905880989f2,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s42,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s1__target_test[idrid]_predictions.csv,predictions,96445,44f9e0b307e00d75f0075b3d267be1a59d7ffd0f28b2e0521f4b499342be3de8,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s1,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s1_evaluation.json,config/report,9195,12b490d25fea2678e0efce147d3d1288b1a2cd6092098e908add98441be940ba,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s1,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s2__target_test[idrid]_predictions.csv,predictions,96460,3b1752b235f398c22e5370c979413a73933d3990751941f3e58a2dc4c290321a,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s2,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s2_evaluation.json,config/report,9198,12223e00ac9d66d5340f07636c727e901e02b2a4de15fb5a61ec8c84d6dc0a77,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s2,"temperature, config, recorded metrics"
predictions\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s3__target_test[idrid]_predictions.csv,predictions,96705,ed3833cbfc215e4473821ebd72ac81ad9193d2c4b6903ee3e0445c77ab57a67c,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s3,master results
configs\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s3_evaluation.json,config/report,9145,d1f6303bfba6cc1c47b7ddab24dfaabe0d5d84ae55a6a89f7a3fcd1fd71c51e3,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_linprobe-b256_s3,"temperature, config, recorded metrics"
